Variable,Description,Type,Value,Label,Pre-Transplant Variable vs Post-Transplant Outcome Variable,"Related to GVHD: Yes/No, Possible, Unknown","Rational for Yes, Possible, Unknown",Linked to Other Variables
,,,55,RARS,,,,
,,,57,Polycythemia vera,,,,
,,,58,Essential thrombocythemia,,,,
,,,60,"MPN, unclassifiable",,,,
,,,61,RAEB-1,,,,
,,,62,RAEB-2,,,,
,,,64,RCMD,,,,
,,,65,RCMD-RS,,,,
,,,66,5q- syndrome,,,,
,,,69,"MDS/MPN, unclassifiable",,,,
,,,165,Chronic neutrophilic leukemia,,,,
,,,166,Chronic eosinophilic leukemia,,,,
,,,167,Primary myelofibrosis,,,,
,,,1440,"Atypical CML, BCR/ABL-",,,,
,,,1452,MDS/MPN-RS=T,,,,
,,,1454,MDS-RS-MLD,,,,
,,,1464,Myeloid/lymphoid neoplasms with PCM1-JAK2,,,,
mono5,Cytogenetic abnormality present before transplant: -5,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
mono7,Cytogenetic abnormality present before transplant: -7,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
mono17,Cytogenetic abnormality present before transplant: -17,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
mono18,Cytogenetic abnormality present before transplant: -18,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
monox,Cytogenetic abnormality present before transplant: -X,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
monoy,Cytogenetic abnormality present before transplant: -Y,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
tris4,Cytogenetic abnormality present before transplant: 4,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
tris8,Cytogenetic abnormality present before transplant: +8,Categorical,0,No,Pre-Transplant Variable,Unknown,Unknown if disease impacts risk of gvhd,236
,,,1,Yes,,,,
,,,.A,Missing,,,,
,,,.B,Not tested,,,,
,,,.Z,"N/A, TED track <2013",,,,
